 Propery Id, Propery Code, Reference Code, Property Name, LockedForETL
20330,p0000488,101002,St Paul Gardens,Locked(-1)
20331,p0000489,104201,Harvard Terrace,Locked(-1)
20332,p0000490,101001,Hampton Court,Locked(-1)
20333,p0000491,hv_clo,Hancock Village,Locked(-1)
50636,p0054372,104202,Kilsyth Court Apartments,Locked(-1)
50637,p0054373,104204,Kilsyth Hall Apartments,Locked(-1)
50638,p0054374,104102,Kilsyth Manor Apartments,Locked(-1)
50639,p0054375,401000,Newton Park Apartments,Locked(-1)
50640,p0054376,,Selkirk Place Apartments,Locked(-1)
50641,p0054377,101003,Auburn Harris Courtyard Apartments,Locked(-1)
50642,p0054378,104101,Beacon Fairbanks Manor Apartments,Locked(-1)
50643,p0054379,940000,Green Street Apartments,Locked(-1)
50645,p0054381,402000,Longwood Towers Apartments,Locked(-1)
50646,p0054382,102020,Brattle Arms Apartments,Locked(-1)
50647,p0054383,102010,Chauncy Court Apartments,Locked(-1)
50648,p0054384,102006,John Harvard Apartments,Locked(-1)
50649,p0054385,102005,Wendell Terrace Apartments,Locked(-1)
50650,p0054386,103080,Norwest Woods,Locked(-1)
50651,p0054387,103060,Norwood Gardens,Locked(-1)
50652,p0054388,201100,Regency Plaza,Locked(-1)
50653,p0054389,rcv,Ridgecrest Village,Locked(-1)
50654,p0054390,105000,Village Green Apartments,Locked(-1)
50655,p0054391,103090,Waterfall Hills at Canton,Locked(-1)
50838,p0054574,301000,Bay View Estates,Locked(-1)
204657,p0211333,102031,Charles Chauncy Apartments,Locked(-1)
204658,p0211334,,West Roxbury Condo,Locked(-1)
204659,p0211335,601221,Condo 201,Locked(-1)
204660,p0211336,601227,Condo 207,Locked(-1)
204661,p0211337,805118,Condo 18,Locked(-1)
204662,p0211338,801020,20 John Street,Locked(-1)
204663,p0211339,933222,20 Stearns Road 22,Locked(-1)
204664,p0211340,804001,269 Harvard St. 1,Locked(-1)
204665,p0211341,804017,269 Harvard St. 17,Locked(-1)
204666,p0211342,804027,269 Harvard St. 27,Locked(-1)
204667,p0211343,804038,269 Harvard St. 38,Locked(-1)
204668,p0211344,101004,45 Stearns Road,Locked(-1)
204669,p0211345,602103,Condo 103,Locked(-1)
204670,p0211346,601203,Condo 203,Locked(-1)
204671,p0211347,601301,Condo 301,Locked(-1)
204672,p0211348,601404,Condo 404,Locked(-1)
204673,p0211349,803442,Condo 442,Locked(-1)
204674,p0211350,923147,Condo 447,Locked(-1)
204675,p0211351,923148,Condo 448,Locked(-1)
204676,p0211352,923159,Condo 559,Locked(-1)
204677,p0211353,923160,Condo 560,Locked(-1)
204678,p0211354,933321,56 Concord Ave. 36,Locked(-1)
204679,p0211355,104203,77 Kilsyth Road,Locked(-1)
204680,p0211356,104103,77 Lanark Road,Locked(-1)
204681,p0211357,103085,George Court,Locked(-1)
204682,p0211358,210000,Hancock Village Boston East,Locked(-1)
204683,p0211359,200000,Hancock Village Boston West,Locked(-1)
204684,p0211360,230000,Hancock Village Brookline,Locked(-1)
204685,p0211361,,Kent Street Apartments,Locked(-1)
204686,p0211362,802698,169 Kent St. A,Locked(-1)
204687,p0211363,802699,169 Kent St. B,Locked(-1)
204688,p0211364,941752,175 Kent St. 2,Locked(-1)
204689,p0211365,802758,175 Kent St. A,Locked(-1)
204690,p0211366,802759,175 Kent St. B,Locked(-1)
204691,p0211367,802798,179 Kent St. A,Locked(-1)
204692,p0211368,802799,179 Kent St. B,Locked(-1)
204693,p0211369,802839,183 Kent St. B,Locked(-1)
204694,p0211370,802878,187 Kent St. A,Locked(-1)
204695,p0211371,941910,191 Kent St. A,Locked(-1)
204696,p0211372,,Langdon Square Apartments,Locked(-1)
204697,p0211373,102035,1 Langdon Square,Locked(-1)
204698,p0211374,102032,55 Langdon Street,Locked(-1)
204699,p0211375,102033,59-61 Langdon Street,Locked(-1)
204700,p0211376,102034,65 Langdon Street,Locked(-1)
204702,p0211378,103075,Ridgecrest Green,Locked(-1)
204703,p0211379,103076,125 Edgemere,Locked(-1)
204704,p0211380,103070,Ridgecrest Terrace,Locked(-1)
204707,p0211383,601000,Village at Chestnut Hill,Locked(-1)
204708,p0211384,106010,Water View Terrace,Locked(-1)
204709,p0211385,106020,Water View Village,Locked(-1)
213715,p0220418,,BBC Condos,Locked(-1)
213788,p0220491,103071,Ridgecrest Townhomes,Locked(-1)
213789,p0220492,402010,Alden View LLC,Locked(-1)
223534,p0230223,402015,Alden Tower (4 units),Locked(-1)
223535,p0230224,402020,Alden Tower,Locked(-1)
223986,p0230675,crmlongw,Longwood Towers,Locked(-1)
226108,p0232796,805536,536 Nahatan,Locked(-1)
226109,p0232797,805558,558 Nahatan,Locked(-1)
226110,p0232798,,Norwest Woods Apartment,Locked(-1)
226615,p0233304,806100,21 Sanborn Street,Locked(-1)
229112,p0235807,brighton,CHR Brighton Apartments,Locked(-1)
229113,p0235808,brooklin,CHR Brookline - Coolidge Corner Communities,Locked(-1)
229125,p0235820,cambridg,CHR Cambridge - Harvard Square Communities,Locked(-1)
238869,p0245568,103072,Ridgecrest DAV,Locked(-1)
240600,p0247264,923201,90 Kilsyth Road 1,Locked(-1)
439453,p0447314,403010,Fenway Diamond at 9 Miner Street,Locked(-1)
456343,p0466021,101005,1443 Beacon,Locked(-1)
479984,p0489662,805455,455 VFW,Locked(-1)
479986,p0489664,402030,Longwood Green Condominium,Locked(-1)
489517,p0499190,102007,15-17 Langdon Street,Locked(-1)
542057,p0551678,803069,69 Strathmore Road Unit #1,Locked(-1)
544462,p0554082,204000,Hancock Estates,Locked(-1)
546215,p0555838,230000,TEST7s Hancock Village Brkline,Locked(-1)
546541,p0556164,204020,The Chestnut Hill,Locked(-1)
549214,p0558836,103060,TEST7s Norwood Gardens,Locked(-1)
549215,p0558837,210000,TEST7s Hancock Village I / Boston East,Locked(-1)
549216,p0558838,200000,TEST7s Hancock Village II / Boston West,Locked(-1)
597734,p0606872,,TEST7s Hancock Village List,Locked(-1)
618812,p0627788,,Test7S Regency Plaza,Locked(-1)
651343,p0660308,801000,Super Cool Propety- Test 801000,Locked(-1)
657171,p0666128,601305,14 Heron St 305,Locked(-1)
657172,p0666129,803225,5050 Washington St 225,Locked(-1)
657987,p0666944,802000,Restful Acres,Locked(-1)
726804,p0733697,919001,99 Perry,Locked(-1)
726805,p0733698,805570,570 Nahatan Street,Locked(-1)
726806,p0733699,805588,588 Nahatan Street,Locked(-1)
924026,p0926821,590000,TEST Hancock Village 59 (590000),Locked(-1)
924027,p0926822,800000,TEST Hancock Village Test 8 (800000),Locked(-1)
924028,p0926823,140000,TEST Hancock Village BROOKLINE 1A (140000),Locked(-1)
932774,p0935565,230004,TEST Hancock Village I Brookline(230004),Locked(-1)
932775,p0935566,210000,TEST Hancock Village I / Boston East (210000),Locked(-1)
932776,p0935567,200000,TEST Hancock Village II / Boston West (200000),Locked(-1)
932778,p0935569,,TEST PROPLIST HANCOCK VILLIAGE BROOKLINE,Locked(-1)
932837,p0935624,300000,test hancock village new,Locked(-1)
940604,p0943389,201100,TEST DBA - Regency Plaza (201100),Locked(-1)
944523,p0947285,230022,Hancock Village Split Hancock Village I Brookline,Locked(-1)
944524,p0947286,200059,Hancock Village Boston West II,Locked(-1)
1093983,p1069070,944201,Telephone Building,Locked(-1)
1094750,p1069835,,zzTEST - The Chestnut Hill,Locked(-1)
1236696,p1207075,5500,CHR Works,Locked(-1)
